step	time	T	Ekin	res	lj	bond_43	bond_128	bond_140_cross	bond_126	bond_131	bond_26	bond_136	bond_134	bond_143_cross	bond_138_cross	bond_124	bond_129	bond_127	bond_18_cross	bond_137_cross	bond_141_cross	bond_135	bond_2	bond_136_cross	bond_102	bond_125	bond_144_cross	bond_130	bond_142_cross	bond_139_cross	bond_146_cross	bond_133	bond_132	bond_145_cross
49	0.049	7.24195	70326.6	0	473.814	180.636	3.83501	0	95.6673	124.118	29.0225	11.652	51.4217	64.1728	2724.23	32.9024	4252.77	3.19759	0	1591.21	796.314	17.4402	662.986	0	264.445	93.1831	0	323.167	80.7449	0	0	300.197	93.8896	0
50	0.05	6.89017	66910.5	0	466.85	179.535	4.68745	0	83.6046	127.459	27.3478	16.0096	51.2659	64.1687	2361.77	21.1857	7326.51	2.65109	0	1635.19	837.146	24.7206	1103.91	0	72.8755	107.162	0	363.772	84.1864	0	0	241.565	95.5245	0
51	0.051	6.4471	62607.8	0	457.711	173.105	5.08027	0	69.2518	131.93	25.8157	21.1058	50.6562	64.326	2052.64	39.6183	10627.1	1.66257	0	1682.22	878.889	31.7472	1642	0	47.9457	112.326	0	403.589	87.7891	0	0	222.386	97.9895	0
52	0.052	5.9829	58100	0	447.704	165.923	4.33795	0	55.5823	136.86	27.3528	26.2027	49.8678	64.629	1796.73	84.4336	13552.5	1.26934	0	1732.41	921.575	37.3385	2141.69	0	202.039	103.897	0	396.209	91.7407	0	0	270.074	102.496	0
53	0.053	5.58805	54265.6	0	435.61	158.805	4.28869	0	44.693	142.195	29.7964	30.2886	48.9684	64.918	1592.81	147.476	15565.3	1.86	0	1785.81	965.413	40.1464	2601.9	0	230.485	93.8702	0	358.495	95.8774	0	0	322.703	108.93	0
54	0.054	5.36545	52103.9	0	422.647	151.889	4.70493	0	38.4213	147.171	29.8719	31.9483	49.0886	65.3413	1440.17	215.897	16300.8	2.32155	0	1841.84	1010.18	39.3203	2964.74	0	76.4086	93.1313	0	345.66	100.194	0	0	317.855	114.609	0
55	0.055	5.31509	51614.9	0	409.218	147.589	5.91019	0	37.8405	150.788	25.8592	30.1328	50.4635	65.9872	1337.7	277.187	15659.5	2.13606	0	1900.66	1055.68	34.8959	3059.78	0	47.1463	103.283	0	383.876	104.715	0	0	264.664	119.371	0
56	0.056	5.41825	52616.6	0	395.881	149.044	6.34731	0	43.411	153.311	23.4496	25.1921	52.8102	66.7073	1284.27	319.304	13793.5	1.35291	0	1961.91	1101.91	27.8014	2759.05	0	258.438	113.144	0	444.66	109.483	0	0	235.603	121.121	0
57	0.057	5.67108	55071.9	0	384.466	154.974	6.44472	0	54.4461	154.984	25.0454	18.3773	55.9161	67.5749	1278.44	333.404	11065.5	1.23495	0	2026.07	1148.66	19.4338	2173.41	0	405.503	112.71	0	465.937	114.562	0	0	269.918	121.156	0
58	0.058	6.05618	58811.5	0	375.995	164.512	6.15847	0	69.5913	155.047	30.2752	11.6407	58.4051	68.6537	1318.7	316.197	7941.25	1.6657	0	2092.3	1196.16	11.929	1592.19	0	253.515	107.916	0	428.488	119.764	0	0	333.899	117.812	0
59	0.059	6.45174	62652.8	0	365.983	176.241	5.5493	0	86.1401	154.186	34.0031	6.94246	60.066	69.8005	1403.58	273.185	4936.9	2.38042	0	2160.36	1243.53	6.82365	1292.04	0	43.0178	109.902	0	379.434	125.189	0	0	356.284	112.306	0
60	0.06	6.74547	65505.2	0	358.195	186.87	6.06397	0	102.332	151.886	32.2774	5.77308	60.786	71.1573	1530.96	212.437	2509.78	2.56397	0	2230.43	1291.14	5.54454	1341.97	0	99.1938	117.692	0	375.783	130.74	0	0	315.037	107.116	0
61	0.061	6.87533	66766.3	0	348.872	195.541	6.7972	0	115.465	149.957	28.4893	7.9615	61.4267	72.5762	1699.08	145.241	1013.13	2.00544	0	2302.36	1338.92	8.25004	1622.6	0	306.213	127.259	0	422.602	136.613	0	0	263.275	104.449	0
62	0.062	6.84585	66480.1	0	344.522	199.866	7.63925	0	122.491	148.021	28.1474	12.2929	62.6664	74.172	3029.74	85.2124	655.809	1.28651	0	2367.01	1386.58	13.8623	1988.61	0	303.676	130.866	0	464.551	142.869	0	0	266.092	106.677	0
63	0.063	6.69966	65060.4	0	338.821	199.043	6.70557	0	123.065	145.683	32.0203	17.2034	63.596	75.7853	3270.84	42.4844	1460.54	1.56023	0	2442.31	1434.3	21.0959	2384.52	0	99.1635	125.08	0	459.612	149.21	0	0	314.09	112.465	0
64	0.064	6.43422	62482.7	0	333.46	194.865	6.19982	0	116.327	145.897	37.9271	21.4944	64.8373	77.4792	3544.24	25.1727	3259.22	2.60314	0	2518.92	1482	28.6376	2777.65	0	31.9099	117.948	0	415.328	155.766	0	0	341.743	121.155	0
65	0.065	6.04676	58720.1	0	329.156	191.259	6.57455	0	104.198	149.108	41.7089	24.1614	65.8227	79.2677	3846.47	36.2775	5708.36	3.19223	0	2596.29	1529.14	35.0699	3065.71	0	176.189	118.628	0	386.443	162.623	0	0	321.74	131.093	0
66	0.066	5.61377	54515.3	0	326.158	190.747	7.54072	0	88.7595	156.392	38.9107	25.1218	65.6773	81.1164	4175.92	73.8467	8368.08	2.67804	0	2674.42	1575.69	39.778	3072.41	0	242.053	124.129	0	410.577	169.672	0	0	280.459	140.634	0
67	0.067	5.23186	50806.5	0	320.829	193.949	7.12802	0	72.183	168.51	33.1932	24.5403	64.5728	83.1413	4529.64	130.394	10788.8	1.73142	0	2752.99	1621.74	41.1204	2702.18	0	107.143	126.657	0	473.781	176.818	0	0	280.677	149.185	0
68	0.068	4.95674	48134.9	0	319.934	200.717	5.84928	0	57.5486	181.079	32.8598	22.7228	63.2253	85.2269	4906.81	194.419	12599.9	1.69862	0	2832.03	1667.25	39.4921	2075.71	0	33.1209	125.069	0	510.618	184.046	0	0	331.631	155.064	0
69	0.069	4.76634	46286	0	318.756	208.78	4.89511	0	46.7047	193.635	38.666	20.1678	61.1069	87.4398	5304.8	254.742	13554.3	2.57304	0	2911.14	1711.92	35.1961	1458.28	0	198.587	124.914	0	489.549	191.581	0	0	384.65	159.199	0
70	0.07	4.65327	45187.9	0	318.104	216.067	5.08348	0	40.6778	204.105	44.0185	16.9969	59.561	89.7231	5720.55	298.305	13556.3	3.43349	0	2990.05	1755.17	28.4537	1066.39	0	367.88	127.705	0	446.702	199.423	0	0	379.363	159.369	0
71	0.071	4.64873	45143.8	0	317.498	221.964	6.52674	0	40.5091	210.966	42.9524	13.6341	60.0821	91.9941	6152.04	317.586	12646.3	3.292	0	3068.53	1797.41	20.9159	947.572	0	273.25	132.897	0	432.63	207.275	0	0	323.173	155.365	0
72	0.072	4.74212	46050.7	0	316.342	226.813	8.15734	0	46.1091	211.99	37.119	10.6378	62.3254	94.3173	6596.26	306.828	10973.9	2.74299	0	3146.61	1838.12	14.0085	1046.4	0	67.9717	140.261	0	461.839	215.046	0	0	286.662	149.794	0
73	0.073	4.8662	47255.7	0	315.978	230.106	8.41206	0	56.0544	207.129	32.1586	8.88779	65.4477	96.6184	7051.15	269.484	8788.5	1.95118	0	3223.46	1877.41	9.03078	1341.12	0	56.0153	139.649	0	492.176	222.965	0	0	302.895	144.764	0
